Name;Type;Attack
(MAX) Academy Glintstone Staff;Glintstone Staff;43
(MAX) Alabaster Lord's Sword;Greatsword;166
(MAX) Albinauric Bow;Bow;200
(MAX) Albinauric Shield;Medium Shield;0
(MAX) Albinauric Staff;Glintstone Staff;29
(MAX) Ant's Skull Plate;Great Shield;0
(MAX) Antspur Rapier;Thrusting Sword;240
(MAX) Arbalest;Crossbow;308
(MAX) Astrologer's Staff;Glintstone Staff;43
(MAX) Axe of Godfrey;Colossal Weapon;404
(MAX) Axe of Godrick;Greataxe;347
(MAX) Azur's Glintstone Staff;Glintstone Staff;58
(MAX) Bandit's Curved Sword;Curved Sword;289
(MAX) Banished Knight's Greatsword;Greatsword;347
(MAX) Banished Knight's Halberd;Halberd;306
(MAX) Banished Knight's Shield;Medium Shield;0
(MAX) Bastard Sword;Greatsword;338
(MAX) Bastard's Stars;Flail;364
(MAX) Battle Axe;Axe;313
(MAX) Battle Hammer;Great Hammer;320
(MAX) Beast Crest Heater Shield;Medium Shield;0
(MAX) Beast-Repellent Torch;Torches;396
(MAX) Beastclaw Greathammer;Great Hammer;467
(MAX) Beastman's Cleaver;Curved Greatsword;350
(MAX) Beastman's Curved Sword;Curved Sword;276
(MAX) Beastman's Jar-Shield;Small Shield;0
(MAX) Black Bow;Bow;171
(MAX) Black Knife;Dagger;320
(MAX) Black Leather Shield;Medium Shield;0
(MAX) Blade of Calling;Dagger;278
(MAX) Blasphemous Blade;Greatsword;487
(MAX) Bloodhound Claws;Claw;242
(MAX) Bloodhound's Fang;Curved Greatsword;345
(MAX) Bloodstained Dagger;Dagger;198
(MAX) Bloody Helice;Heavy Thrusting Sword;296
(MAX) Blue Crest Heater Shield;Medium Shield;0
(MAX) Blue Crest Heater Shield;Shield;0
(MAX) Blue-Gold Kite Shield;Medium Shield;0
(MAX) Blue-White Wooden Shield;Small Shield;0
(MAX) Bolt of Gransax;Spear;394
(MAX) Brass Shield;Medium Shield;0
(MAX) Briar Greatshield;Great Shield;0
(MAX) Brick Hammer;Great Hammer;298
(MAX) Broadsword;Straight Sword;286
(MAX) Buckler;Shield;0
(MAX) Buckler;Small Shield;0
(MAX) Butchering Knife;Greataxe;328
(MAX) Caestus;Fist;220
(MAX) Candletree Wooden Shield;Medium Shield;0
(MAX) Cane Sword;Straight Sword;235
(MAX) Carian Glintblade Staff;Glintstone Staff;38
(MAX) Carian Glintstone Staff;Glintstone Staff;43
(MAX) Carian Knight's Shield;Medium Shield;0
(MAX) Carian Knight's Sword;Straight Sword;430
(MAX) Carian Regal Scepter;Glintstone Staff;58
(MAX) Celebrant's Cleaver;Axe;306
(MAX) Celebrant's Rib-Rake;Spear;267
(MAX) Celebrant's Sickle;Dagger;193
(MAX) Celebrant's Skull;Great Hammer;338
(MAX) Chainlink Flail;Flail;274
(MAX) Cinquedea;Dagger;240
(MAX) Cipher Pata;Fist;208
